(seguindo o Banco de dados)			(audiovisual, bibliográfico, cartográfico, textual...)	(artigo, fotografia...)	(impresso, datilografado, manuscrito, digital...)		(/palavras chave)		Cidade/ Instituição/ em que foi publicado		Orientador; Coorientador	Recorte temporal	Recorte Espacial	Bairro/Local	
103	O BEM AVENTURADO MORRER: PREPARAÇÃO PARA MORTE E RITOS FÚNEBRES EM SÃO JOÃO DEL-REI DO SÉCULO XIX	Cíntia Vivas Martins	Textual	Dissertação	Digital	História	testamentos; bem morrer; São João del-Rei	2015	São João del-Rei (UFSJ)	Em tempos passados, as preocupações em relação a morte ocuparam importante dimensão do cotidiano – rezas e intercessões as almas, formas e local de enterro e mortalhas utilizadas, eram pensadas e registradas nos testamentos pelos indivíduos preocupados com os encargos necessários à salvação de suas almas. Toda esta ritualística funerária constituía-se o chamado bem morrer. Parte efetiva da própria vida social e cultural da época, as atitudes em torno da morte eram o centro de manuais, práticas e debates. A boa morte cristã a partir de concepções do século XIX, em certos aspectos, foi questionada e, ao longo de um processo de maturação de ideias científicas e civis, foi perdendo espaço no imaginário social e cultural dos homens. Nosso estudo busca acompanhar este processo, específico na localidade de São João del-Rei. Levando em conta as peculiaridades e dinâmicas locais, buscamos compreender como o fenômeno de secularização dos ritos fúnebres foi institucionalizado e recebido na cidade.	Marcos Ferreira Andrade	Século XIX	São João del-Rei	-	https://drive.google.com/file/d/1Cz0WSizpx21FwAFlc5jTiJqVen2LIdvm/view?usp=sharing
104	OS BENGUELAS DE SÃO JOÃO DEL REI: TRÁFICO ATLÂNTICO, RELIGIOSIDADE E IDENTIDADES ÉTNICAS (SÉCULOS XVIII E XIX)	Silvia Brugger; Anderson de Oliveira.	Textual	Artigo	Digital	História	tráfico atlântico; religiosidade; identidade étnica	2009	Niterói (UFF)	O presente artigo visa discutir de forma articulada questões relacionadas ao tráfico atlântico, à religiosidade e à constituição de identidades étnicas na sociedade escravista brasileira, na virada do século XVIII para o XIX. Para tanto, centrando nossa abordagem na região de São João del Rei, inicialmente apresentamos uma visão geral dos diversos grupos étnicos ali presentes e, posteriormente, focamos a análise nos benguelas. Estudando as estratégias de formação de identidades coletivas do grupo em questão, procuramos avançar na compreensão do tráfico atlântico como um elemento decisivo na formação sociocultural da América Portuguesa. Tomamos como fontes principais os registros paroquiais de óbito e a documentação da Irmandade de Nossa Senhora do Rosário de São João del Rei.	-	Séculos XVIII e XIX	São João del-Rei	-	https://drive.google.com/file/d/1zln4fv-lsPxdS5dEstLYnugU2DtTeqXf/view?usp=sharing
105	PEGMATITOS DA REGIÃO DE SÃO JOÃO DEL REI - MG	Ricardo Francesconi	Textual	Dissertação	Digital	Geologia	mapa geológico; pegmatitos; São João del-Rei	1972	São Paulo (USP)	Este trabalho apresenta um estudo da Província Pegmatítica de São João del-Rei, localizada a sudoeste do Estado de Minas Gerais. É apresentado um mapa geológico de uma área de 3300 km², em escala 1 : 200.000, efetuado sobre base topográfica de 1 : 50.000 e de fotografias aéreas de 1 : 30.000. Os pegmatitos ocorrem encaixados em rochas do Complexo Granito Gnáissico, em anfibólio xistos e em rochas graníticas, numa faixa de 70 km de comprimento por 20 km de largura, que corta a região mapeada de SW para NE abrangendo os municípios de Nazareno, Cassiterita, São Tiago, Ritápolis, São João del Rei, Cel. Xavier Chaves e Resende Costa.	José Vicente Valarelli	-	Nazareno; Cassiterita; São Tiago; Ritápolis; São João del Rei; Cel. Xavier Chaves; Resende Costa.	-	https://drive.google.com/file/d/1GyZF0ykvCW4KrWyOqJARDQl6zsf-xPR1/view?usp=sharing
106	“RELHO NÃO MATAVA NEGRO”: CRIMES CONTRA ESCRAVOS NA COMARCA DO RIO DAS MORTES (1840 – 1888)	Wesley Souza Costa 	Textual	Dissertação	Digital	História	escravidão; criminalidade; justiça; império; Minas Gerais	2016	São João del-Rei (UFSJ)	A presente pesquisa tem como objetivo analisar a criminalidade contra escravos em  Minas Gerais, a partir dos processos crimes em que estes ocupavam os lugares de  ofendidos, entre os períodos de 1840-1888. A partir dos dados criminais da comarca do  Rio das Mortes, busca-se empreender uma análise quantitativa dos padrões da  criminalidade contra escravos ao longo da segunda metade do século XIX, bem como a  construção dos perfis de quem eram réus e vítimas e como a justiça atuou nestes casos.  A partir de uma análise mais pormenorizada destas fontes, intenciona-se perceber as  estratégias sociais e políticas desenvolvidas por esses agentes, na construção da  absolvição e culpa nos processos criminais, bem como analisar a compreensão que tais  agentes tinham sobre a violência contra escravos. Visamos analisar o castigo senhorial,  como um instrumento de dominação que para ser respaldado e legitimado socialmente,  precisava ser circunscrito a um conjunto de métodos que construíam o perfil dos  senhores moderados e justos. Constata-se que o discurso de violência contra escravos  podia ser instrumentalizado judicialmente no intento de atacar e enfraquecer  proprietários adversários. 	Marcos Ferreira de   Andrade.  	1840/1888	São João Del Rei- MG	-	https://drive.google.com/file/d/179MNaxjRVZmciislACbqwqfI8ksN23br/view?usp=sharing
107	“SERVIR AO SANTO TRIBUNAL”: TRAJETÓRIAS E ATUAÇÃO DOS OFICIAIS DA INQUISIÇÃO NO TERMO DE SÃO JOÃO DEL-REI (SÉCULO XVIII)	Érica Ferreira	Textual	Dissertação	Digital	História	agentes inquisitoriais; mobilidade social; São João del-Rei	2017	São João del-Rei (UFSJ)	A pesquisa busca analisar a penetração da Inquisição portuguesa em São João del-Rei, ao  longo do século XVIII, por meio da estruturação de uma rede local de agentes a serviço da  instituição, formada majoritariamente por imigrantes portugueses. Como a riqueza, em si,  carecia de legitimação, negociantes e, em menor medida, lavradores, mineradores, militares e  oficiais mecânicos, buscavam por insígnias que conferiam distinção social, tendo na posse de  uma habilitação do Santo Ofício um instrumento privilegiado de comprovação de pureza de  sangue e de aprovação do centro do Império das demais capacidades do habilitado. A  instrumentalização da habilitação inquisitorial em processos de mobilidade social foi a  principal forma de inserção social do Santo Ofício na região, quando se confronta a busca dos  indivíduos por elementos distintivos que contribuíam para marcar as hierarquias na sociedade  do Antigo Regime frente à atuação do oficial no aparelho repressivo da Inquisição.	Maria Leônia Chaves de   Resende  	século XVIII	São João Del Rei- MG	-	https://drive.google.com/file/d/1s9MIsnn6sRduJYdww8iXvMAqISsdyLEy/view?usp=sharing
108	A CRIMINALIDADE ESCRAVA EM SÃO JOÃO DEL-REI (1850-1860)	Ailton Alexandre de Assis	Textual	Artigo	Digital	História	-	-	São João del-Rei (FUNREI)	A proposta deste trabalho, partindo de um conceito ampliado de resistência, é, precisamente, estudar a criminalidade escrava enquanto fenômeno de resistência cotidiana à escravidão. Neste sentido, alguns historiadores têm apontado para a possibilidade de se conhecer, através de fontes criminais, o corriqueiro da vida das camadas sociais desprivilegiadas, seus anseios, valores, os tipos de relações que estabeleciam.  Por conseguinte, este trabalho é também uma tentativa de investigar esse viver cotidiano da escravidão. O objetivo é captar, para além do caráter oficial e normativo dos processos criminais, o que os escravos tinham a dizer sobre sua condição. Dizer esse que, nos processos criminais, detecta-se a partir das motivações e das circunstâncias que levaram os escravos a cometer os crimes. 	-	1850-1860	São João Del Rei- MG	-	https://drive.google.com/file/d/13ClnS0Lvy5N3fHNeABZuISbTal_S81m8/view?usp=sharing
109	A CULTURA ESCOLAR E OS SIGNIFICADOS DA FORMAÇÃO DO SUJEITO NOS COLÉGIOS SANTO ANTÔNIO E NOSSA SENHORA DAS DORES DE SÃO JOÃO DEL-REI (1940-1960)	Tatiane Fátima De Rezende 	Textual	Dissertação	Digital	História	cultura escolar; práticas escolares; estado novo; nacional desenvolvimentismo	2018	São João del-Rei (UFSJ)	A presente pesquisa buscou compreender o tipo de formação que ocorreu em duas  instituições confessionais da cidade de São João del-Rei, o Colégio Nossa Senhora das  Dores, fundado em 1898 pelas vicentinas, e o Colégio Santo Antônio, fundado em 1909  pelos franciscanos, tendo como foco a análise da cultura escolar e das práticas escolares  que foram implantadas nas duas instituições. Consideramos, portanto, a aplicação de  determinadas práticas escolares (como as associações colegiais, jornais escolares,  desfiles cívicos, campeonatos esportivos etc.) como meios utilizados para a formação de  determinados saberes, competências e habilidades nos alunos e alunas, a partir das suas  especificidades decorrentes das transformações contextuais, das adaptações pedagógicas  das instituições religiosas e das formas como foram vivenciadas nas relações escolares  ao longo do tempo. Nossa análise buscou ir além de uma perspectiva limitada da  compreensão dos discursos externos as escolas, se preocupando em compreender os  significados que a os discursos pedagógicos e as legislações educacionais tomaram na  orientação das atividades escolares.	 Cássia Rita Louro Palha	1940-1960	São João Del Rei- MG	-	https://drive.google.com/file/d/1NPdrCOQxRFqbiwEKzzj90rALjW8C7VoB/view?usp=sharing
110	A DIFUSÃO DO LIVRO ATRAVÉS DE BIBLIOTECAS PARTICULARES EM SÃO JOÃO DEL REI (1831-1840)	Eufrásia Carlita De Castro	Textual	Dissertação	Digital	História	-	2003	São João del-Rei (UFSJ)	Nos propomos, neste trabalho, a analizar a difusão de livros através de bibliotecas particulares em São João del-Rei durante a década de 30 do século XIX. A escolha deste quadro cronológico se deu em virtude de uma maior disponibilidade de fontes referentes a este período.	Afonso de Alencastro  Graça Filho 	1831-1840	São João Del Rei- MG	-	https://drive.google.com/file/d/1OHFI9wX3aJheN5MKM0oKWq0dtq3OeikI/view?usp=sharing
111	A FAMÍLIA ESCRAVA EM SÃO JOÃO DEL REI NA PRIMEIRA DÉCADA DO SÉC. XIX	Mônica Lúcia de Resende Chaves 	Textual	Dissertação	Digital	História	-	2003	São João del-Rei (UFSJ)	O trabalho visa conhecer o cotidiano escravo dentro do círculo familiar ao tentar trabalhar o tamanho médio da prole escrava e presença nas escravarias, de famílias escravas, dentro da Vila de São João del Rei, período citado acima. O interesse é saber se havia uma uniformidade entre o número de filhos das famílias escravas pesquisadas em toda a década ou se houve alteração do número de filhos comum das famílias escravas no decorrer de 1801 a 1810. Para trabalharmos estes dados levaremos em conta o tipo de parentesco descritos nos inventários post mortem onde são arrolados todos os bens da pessoa falecida, o inventariado, e entre os bens estão o nome do 1BRUGGER, Silvia Maria Jardim. Minas Patriarcal -Tese –Família e Sociedade (São João del Rei, séculos XVIII e XIX). Niterói, 2002.Tabela 2.3 – LEGITIMIDADE X CONDIÇÃO DA MÃE. P.83	Silvia Bruger	 PRIMEIRA DÉCADA DO SÉC. XIX 	São João Del Rei- MG	-	https://drive.google.com/file/d/1EcvGjgw8F6WsX8Evt5pdrozk9XmO3jtj/view?usp=sharing
112	A VOZ DOS ATABAQUES NA CIDADE ONDE OS SINOS FALAM: TRAJETÓRIAS DE VIDAS DE MÃES E PAIS DE SANTO EM SÃO JOÃO DEL-REI (MG)	Rafael Teodoro Teixeira 	Textual	Dissertação	Digital	História	memória; oralidade; terreiros; religiões afro-brasileiras; representação	2020	São João del-Rei (UFSJ)	Este trabalho apresenta a trajetória de mães e pais de santo de São João del-Rei, Minas Gerais.  Por meio de suas memórias e histórias busca-se demarcar a existência das religiões afro brasileiras na cidade onde as tradições católicas são consolidadas como parte de sua identidade.  No decorrer da dissertação caminharemos pelas ruas da cidade e pelos percursos dos sacerdotes  entrevistados de modo que seja possível acessar esses outros aspectos da história do município, para além das igrejas barrocas e do centro histórico, mas passando por eles. Tratando-se de  religiões afro-brasileiras, as noções que permeiam o método utilizado – a saber, a história oral – se mostraram condizentes com a realidade sociocultural das comunidades de terreiro, nas  quais a oralidade consiste na principal forma continuidade de suas tradições. 	Maria Jardim Brügger 	-	São João Del Rei- MG	-	https://drive.google.com/file/d/1aAt6jltYt2HEWmQkAhC5cOaEdW8r19Bh/view?usp=sharing
113	ELITES ECONÔMICAS E ATIVIDADES AGROPASTORIS DE ABASTECIMENTO: SÃO JOÃO E SÃO JOSÉ DEL-REI, 1750- 1808	Filipe Moreira Alves De Lima 	Textual	Dissertação	Digital	História	 comarca do Rio das Mortes; elite econômica; produção agropastoril 	2017	São João del-Rei (UFSJ)	Essa dissertação busca caracterizar e analisar os perfis das fortunas existentes nas Vilas de  São João e São José del-Rei entre os anos de 1750 a 1808, período em que a economia da  Comarca do Rio das Mortes, assim como de toda a Capitania de Minas Gerais, passaria por  importantes transformações econômicas, ocasionada pela crise da exploração aurífera e pelo  fortalecimento das atividades agropastoris destinadas ao comércio de abastecimento. Buscamos também melhor caracterizar essa elite econômica, bem como entender a quais  atividades e bens tal riqueza estava atrelada. No intuito de alcançar nossos objetivos, temos  como fonte principal os inventários post-mortem, selecionados pelo valor mínimo de monte  mor de dez contos de réis, critério estabelecido para a identificação das maiores fortunas. 	 Afonso de Alencastro Graça Filho  	1750- 1808 	São João Del Rei - MG	-	https://drive.google.com/file/d/1sYtVpvbFN-Ei7OoNhZUf8scrztoqkzRH/view?usp=sharing
114	ENTRE O DISCURSO E A PRÁTICA: O IDEÁRIO FEMININO NA SOCIEDADE SÃO-JOANENSE (1829-1832)	Eliane de Lourdes Calsavara	Textual	Dissertação	Digital	História	-	2005	São João del-Rei (UFSJ)	A partir do discurso contido no Mentor e também de investigações em relatos de alguns viajantes que passaram por São João del Rei na primeira metade do séc XIX,  procura-se delinear as representação de um ideal de mulher, difundidas na sociedade são-joanense. 	Silvia Maria Jardim Brugger	Séc. XVIII/ XIX	São João del Rei	-	https://drive.google.com/file/d/1TmRLSXD7XEw38y9oE9Zqg4K31JMMjHbt/view?usp=sharing
115	ESCRAVOS VELHOS EM SÃO JOÃO DEL-REI DO SÉCULO XIX: 1831 a 1861	Tereza Raquel Coimbra Magalhães	Textual	Dissertação	Digital	História	escravos velhos; comunidade; laços de solidariedade; assistência 	2018	São João del-Rei (UFSJ)	Analisar a importância dos escravos velhos em suas comunidades como agenciadores das complexas relações da sociedade escravista, no contexto são-joanense, entre 1831 e 1861	Silvia Maria Jardim Brugger	Séc. XIX	São João del Rei	-	https://drive.google.com/file/d/1uEpNdvPJvFE7vC3hDfXknEsJLWce4p1E/view?usp=sharing
116	FAMÍLIA ESCRAVA EM SÃO JOSÉ DEL REI: ASPECTOS DEMOGRÁFICOS E IDENTITÁRIOS (1830-1850)	Fábio Carlos Vieira Pinto	Textual	Dissertação	Digital	História	escravidão; família escrava; estabilidade; africanos; crioulos; identidade escrava	2010	São João del-Rei (UFSJ)	Famílias escravas em Tiradentes entre 1830 e 1850, descrevendo o processo de socialização através do casamento em que os escravos passavam no contexto da escravidão no Brasil no séc XIX. Observa que o mercado matrimonial era movimentado com casamentos de africanos com africanos assim como brasileiros com brasileiros (escravos nascidos no Brasil). Aponta para o perfil de formação familiar cativa em São João del Rei	Afonso de Alencastro Graça Filho	Séc. XIX (1830 a 1850)	Vila de São José del Rei (atual Tiradentes)	-	https://drive.google.com/file/d/1470QhoURnBg43KSfrJD-8vCPzP0P1VtD/view?usp=sharing
117	FUGAS DE ESCRAVOS NA COMARCA DO RIO DAS MORTES, PRIMEIRA METADE DO SÉCULO XIX	Ana Caroline de Rezende Costa	Textual	Dissertação	Digital	História	Minas Gerais Sec. XIX; comarca do Rio das Mortes; escravidão; fugas de escravos	2013	São João del-Rei (UFSJ)	Trata a respeito dos escravos que fugiram de seus proprietários, frente ao contexto da Comarca do Rio das Mortes. Procura conhecer o perfil dos escravos fugidos que viviam na Comarca e busca informações sobre os seus senhores. Aponta que os escravos que optavam por fugir eram homens jovens e sem laços, seguidos de idosos e mulheres com crianças sinalizando dificuldades nas relações entre senhores e escravos	Marcos Ferreira de Andrade	Séc. XIX	São João del Rei	-	https://drive.google.com/file/d/1hQKOXKn0yyT394QLmPGR9EAo7NYW--Ou/view?usp=sharing
118	REIS DO ROSÁRIO: PODER E RELAÇÕES SIMBÓLICAS NA IRMANDADE DE NOSSA SENHORA DO ROSÁRIO DE SÃO JOÃO DEL-REI (CC 1840-1909)	Luciana Mara dos Santos	Textual	Dissertação	Digital	História	reis do Rosário; relações simbólicas e memórias	2016	São João del-Rei (UFSJ)	Analisa as relações simbólicas e de poder presentes no cargo de rei da mesa administrativa da irmandade do rosário de são joão del rei na segunda metade do séc XIX. Analisa a formação de variados grupos sociais a partir da ocupação dos cargos da mesa administrativa.	Silvia Maria Jardim Brugger	Sec. XIX (1840 a 1909)	São João del Rei	-	https://drive.google.com/file/d/16lfYXpUFJ9Mh2AwiLF2p0vbUC8bSZgXs/view?usp=sharing
119	RESISTÊNCIA ESCRAVA: AS FUGAS DE ESCRAVOS EM SÃO JOÃO DEL REI NA ÚLTIMA DÉCADA DE ESCRAVIDÃO NO BRASIL	Elizabeth Márcia dos Santos	Textual	Dissertação	Digital	História	fugas de escravos; abolição da escravidão; Séc XIX 	2004	São João del-Rei (UFSJ)	Analisar as fugas de escravos que ocorreram na última década de escravidão no Brasil, considerando que as fugas foram estratégias de resistência do negro à dominação senhorial. Também busca discutir a participação do escravo no processo de abolição e a atitude da sociedade frente às mudanças ocorridas na segunda metade do século XIX que ocasionaram na abolição da escravidão.	Silvia Maria Jardim Brugger	Séc. XVIII e XIX	São João del Rei	-	https://drive.google.com/file/d/1XYmFg2YhUvSZfgM8-PZlR9UQF2YP66jn/view?usp=sharing
120	SÃO JOÃO DEL REI: IMPACTOS DA OCUPAÇÃO URBANA SOBRE AS VERTENTES DOS BAIRROS LOMBÃO E BOM PASTOR	João Victor Guimarães Castro	Textual	Revista	Digital	Geografia	urbanização; impactos; vertentes 	2014	São João del-Rei (UFSJ)	Compreensão dos impactos sobre o ambiente em duas áreas de São João del Rei, visando reconhecer as formas geomorfológicas, hidrológicas e urbanas dessas áreas estudadas, agregando a identificação destas feições ao crescimento urbano.	-	2010  e 2011	São João de Rei	Bairros Lombão e Bom Pastor	https://drive.google.com/file/d/1LUZsX-RjqPYphRQd6O5X689e1qOFutiQ/view?usp=sharing
121	ANÁLISE DAS ÁREAS QUEIMADAS NA SERRA DE SÃO JOSÉ, SÃO JOÃO DEL REI, MINAS GERAIS	Ana Cláudia de Mello Silvério; Patrícia Ladeiro Pinheiro; Paula Resende Santos; Gabriel Pereira; Leonardo Cristian Rocha; Fracielle da Silva Cardozo 	Textual	Revista	Digital	Geografia	queimadas; landsat; processamento digital de imagens	2014	São João del-Rei (UFSJ)	Identificar as áreas atingidas pelo fogo na Serra de São José e seu entorno ao longo de 14 anos, de 2000 a 2013.	-	2000 a 2013	São João del Rei	Serra de São José	https://drive.google.com/file/d/1oJwMPZwvK9M9Q98pg9xhl9FYLl0xJbrR/view?usp=sharing
122	O USO AGRÍCOLA DO TERRITÓRIO NA MICRORREGIÃO DE SÃO JOÃO DEL-REI-MG: UMA ANÁLISE DO CULTIVO DA SOJA.	Jaqueline do Carmo Silva Gonzaga; Márcio Roberto Toledo	Textual	Artigo	Digital	Geografia	soja; circuito espacial produtivo; modernização agrícola	2015	São João del-Rei (UFSJ)	O objetivo deste trabalho é analisar o novo uso do território agrícola da microrregião de São João del-Rei, através da cultura da soja. Essa cultura vem crescendo e mudando o perfil agrícola da região. Para isso fazemos um exame temporal da produção de soja, levantamentos bibliográficos e análises de dados do IBGE e de outros dados colhidos através de trabalho de campo quando foi visitada a Empresa de Assistência Técnica e Extensão Rural do Estado de Minas Gerais (EMATER). 	-	2009-2012	Microrregião de São João del Rei	Todos os municípios que compõem a microrregião	https://drive.google.com/file/d/19G65qbOdHYehga2VedS-9RW7XznILRG5/view?usp=sharing
123	ASPECTOS DA DEGRADAÇÃO AMBIENTAL DE UMA TRILHA RECREACIONAL NA SERRA DO LENHEIRO, SÃO JOÃO DEL-REI, MG	Helton Santos Lopes Barbosa; Pedro Henrique Silva Teixeira; Alan Cássio Campos; Múcio do Amaral Figueiredo; Leonardo Cristian Rocha; André Batista Negreiros	Textual	Artigo	Digital	Geografia	trilhas; impacto ambiental; erosão	2015	São João del-Rei (UFSJ)	O presente trabalho trata do relato sobre um experimento realizado na denominada “Trilha do Lenheiro”, localizada na Serra do Lenheiro, adjacências da cidade de São João Del Rei, MG, com o objetivo de produzir dados que possam servir de base para proteção, conservação e manejo das trilhas. A trilha monitorada tem como característica ser um local aberto para visitação de pessoas, circulação de veículos off-road, que ocasionam vários impactos, como pisoteio na vegetação, potencialização de processos erosivos no leito da trilha, entre outros desequilíbrios ambientais acarretados pelo uso indevido das trilhas e pela falta de gestão na área de estudo.	-	2014	São João del Rei	Serra do Lenheiro	https://drive.google.com/file/d/1ZyjfGgvSfM-PiRBpL6HWNtN4H5UeTkN8/view?usp=sharing
124	NOTAS SOBRE A FORMAÇÃO TERRITORIAL DO MUNICÍPIO DE SÃO JOÃO DEL REI E O REORDENAMENTO ESPACIAL A PARTIR DO PROCESSO DE MODERNIZAÇÃO AGRÍCOLA	Luciano Campos Gomes; Lígia Maria Brochado de Aguiar	Textual	Artigo	Digital	Geografia	espaço; território; modernização agrícola	2013	São João del-Rei (UFSJ)	O propósito deste artigo é compreender a formação territorial do município de São João-Del Rei, Minas Gerais, e como o município insere-se no contexto da modernização da agricultura brasileira no atual período técnico-científico-informacional.	-	Sec. XVII - 2012	São João del Rei	-	https://drive.google.com/file/d/1jTGrJ7HCWCKCAkgZo-sm8jzFCxaOsBPg/view?usp=sharing
125	ENTRE APARELHOS E ARQUIVOS: UMA HISTÓRIA DO LABORATÓRIO DE PSICOLOGIA DA FACULDADE DOM BOSCO DE SÃO JOÃO DEL-REI (1953-1971)	Rodolfo Luís Leite Batista	Textual	Dissertação	Digital	Psicologia	história da psicologia; laboratório; psicologia experimental; dispositivo; instituições salesianas	2015	São João del-Rei (UFSJ)	A pesquisa é uma narrativa sobre o laboratório de psicologia da Faculdade Dom Bosco de Filosofia, Ciências e Letras, em São João del-Rei, entre 1953 e 1971, descrevendo-o como dispositivo. O arquivo investigado é construído com correspondências, fotografias, registros contábeis, relatórios, livros de crônicas, laudos, aparelhos psicológicos e seus manuais. As fontes foram recolhidas no Centro de Documentação e Pesquisa em História da Psicologia, em São João del-Rei, e no Centro Salesiano de Documentação e Pesquisa, em Barbacena, Minas Gerais.	Marília Novais da Mata Machado; Carlos Henrique de Souza Gerken	1953-1971	São João del Rei	Laboratório de Psicologia da Faculdade Dom Bosco	https://drive.google.com/file/d/1VzcaihpdDaT9BAgPfOxTCw9jZn5Kmhgy/view?usp=sharing
126	HISTÓRIAS DE FORMAÇÃO E DESENVOLVIMENTO CRIATIVO: INTERFACES COM A PRÁTICA PROFISSIONAL DE DOIS PROFESSORES DE UMA ESCOLA PÚBLICA DE SÃO JOÃO DEL REI	Débora Pereira Oliveira	Textual	Dissertação	Digital	Psicologia	psicologia da criatividade; desenvolvimento criativo; prática criativa de professores; formação de professores	2013	São João del-Rei (UFSJ)	Este trabalho defende a criatividade como um recurso necessário para a adaptação, produtividade e saúde mental de indivíduos. Entre os aspectos envolvidos no fenômeno criativo, que em sua complexidade abarca influências cognitivas, personológicas e ambientais, focou-se no ambiente educacional, reconhecido o papel do professor no incentivo e desenvolvimento da criatividade de seus alunos.	Rita Laura Avelino Cavalcante; Dener Luiz da Silva	2011	São João del Rei	Escola Estadual João dos Santos	https://drive.google.com/file/d/1qNtU7VihfkoX0zThWWeBPvlGZe1XGar-/view?usp=sharing
127	O FIO DA MEMÓRIA NA TESSITURA DE UM OFÍCIO NARRATIVAS DE ARTESÃOS DA MICRORREGIÃO DE SÃO JOÃO DEL-REI – MINAS GERAIS	Ana Paula Rocha Guanais	Textual	Dissertação	Digital	Psicologia	artesanato; memória; pensamento; dimensão estética; teoria crítica da sociedade	2013	São João del-Rei (UFSJ)	Este estudo toma como produto de partida relatos orais de artesãos da microrregião de São João del Rei, analisando-os com o auxílio dos pressupostos de pesquisa em Memória Social, de Ecléa Bosi, e dos técnicos representantes da Teoria Crítica da Sociedade. O objetivo da pesquisa é investigar as formas de trabalhar dos artesãos e as formas de relatar os fatos de suas vidas.	Kety Valéria Simões Franciscatti	2009 e 2010	São João del- Rei	Conceição da Barra de Minas; Coronel Xavier Chaves; Prados; Resende Costa; Santa Cruz de Minas; São João del Rei; Tiradentes	https://drive.google.com/file/d/1iXBA9zJCni_UQ0AASUWx-PsPhkga0bfG/view?usp=sharing
128	ANÁLISE DO PROCESSO GRUPAL DA ASSOCIAÇÃO DE PORTADORES DE DIABETES DE SÃO JOÃO DEL-REI: ARTICULAÇÕES ENTRE IDENTIDADE E PARTICIPAÇÃO	Carolina Neves de Oliveira	Textual	Dissertação	Digital	Psicologia	processo grupal; grupo; identidade; participação; associação de portadores de diabetes	2012	São João del-Rei (UFSJ)	A dissertação apresenta os resultados de uma pesquisa realizada com a associação de diabéticos de São João del-Rei, MG. Foi feita uma pesquisa-intervenção com intenção de facilitar mudanças e de descrever e analisar o processo grupal da associação, especificamente no que se refere à produção de uma identidade grupal e à participação política. Teve como norte de investigação os seguintes objetivos: a explicitação (a) da história de organização do grupo; (b) da constituição de formas de participação; (c) da construção/produção da identidade grupal; (d) do processo ou não de formação da consciência política; (e) da articulação, pelo grupo e pela pesquisadora, das categorias identidade e participação política.	Marcos Vieira Silva; Marília Novais da Mata Machado	2010 e 2011	São João del Rei	Associação de Portadores de Diabetes	https://drive.google.com/file/d/1h7LR-ek_nHLovxDcXX7B8nJv4A9_pSqH/view?usp=sharing
129	FRACASSO E SUCESSO NO DESEMPENHO DE CRIANÇAS NEGRAS DE UMA ESCOLA PÚBLICA DE SÃO JOÃO DEL-REI/MG	Aparecida Ferreira Alves	Textual	Dissertação	Digital	Psicologia	família, mobilidade social, educação, raça.	2011	São João del-Rei (UFSJ)	Esta pesquisa se insere no debate sobre as desigualdades entre negros e não negros no âmbito educacional, no qual alunos negros ainda apresentam os piores desempenhos escolares e os maiores índices de evasão e repetência. Visando averiguar se esse quadro também se manifesta em uma escola pública em São João del-Rei/MG, analisamos 10 turmas que compreendiam as classes do 1º ao 5º Ano do Ensino Fundamental em 2009.	Ruth Bernardes de Sant'Ana	2009	São João Del rei	-	https://drive.google.com/file/d/18nSmjKu4uL7N5Jpd-dniuz5h6REaq6Xn/view?usp=sharing
130	"SÓ EU POSSO MAS NÃO POSSO SOZINHO": DIMENSÕES PSICOSSOCIAIS DE UM TRATAMENTO PARA DEPENDENTES QUÍMICOS NA CIDADE DE SÃO JOÃO DEL-REI  	Andréa Cabral Rios	Textual	Dissertação	Digital	Psicologia	psicologia social, processo grupal, dependência química	2011	São João del-Rei (UFSJ)	O presente trabalho buscou identificar processos psicossociais subjacentes a uma modalidade de tratamento da dependência química na cidade de São João del-Rei – Minas Gerais. Foram realizadas entrevistas com pacientes, terapeutas e monitores da instituição, personagens diretamente envolvidos no processo de tratamento e recuperação.	Marcos Vieira-Silva	-	São João Del rei	-	https://drive.google.com/file/d/1wK7glwKrvS1YXHk90_ZMn0gGjif7vGRH/view?usp=sharing
131	MAPEAMENTO PARTICIPATIVO DE ÁREAS DE RISCO A MOVIMENTO DE MASSA NO BAIRRO SENHOR DOS MONTES – SÃO JOÃO DEL-REI, MG	Gustavo Pyra Almeida	Textual	Artigo	Digital	Geografia	geoprocessamento; mapeamento participativo; conflitos urbanos; áreas de risco.	2014	São João del-Rei (UFSJ)	Este artigo tem como objetivo apresentar as análises e resultados da elaboração de mapas sistemáticos e participativos do Bairro Senhor dos Montes - São João del-Rei, MG.	Silvia Elena Ventorini	-	São João Del rei	Senhor dos Montes	https://drive.google.com/file/d/1iFgf1ppqs65UFFmszC2iD73LatIwPgDC/view?usp=sharing
132	PADRINHOS DE MUITOS AFILHADOS: UM ESTUDO DO SIGNIFICADO DO COMPADRIO EM SÃO JOÃO DEL REI, SÉCULOS XVIII E XIX	Silvia Maria Jardim Brügger	Textual	Artigo	Digital	História	compadrio; padrinho; afilhado	2003	João Pessoa (ANPUH)	O texto visa analisar a relação de compadrio em São João Del rei durante os séculos XVIII e XIX.	-	Sec. XVIII e XIX	São João Del rei	-	https://drive.google.com/file/d/17jFwSIot6IDapZrhzzPITDTuD38AgHQi/view?usp=sharing
